junction_name,primary_direction,primary_speed_limit,primary_avg_speed,secondary_direction,secondary_speed_limit,secondary_avg_speed,record_time,record_date,day_of_week
J39,NB,70,60.27,SB,70,67.58,0 days 06:59:03,2024-09-03,Tuesday
J43|44,NB,70,54.06,SB,70,51.4,0 days 06:59:03,2024-09-03,Tuesday
J2,NB,70,63.42,SB,70,63.79,0 days 07:00:02,2024-09-03,Tuesday
J6A,NB,70,64.25,SB,70,57.79,0 days 07:00:02,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,38.04,0 days 07:00:02,2024-09-03,Tuesday
J14,NB,70,64.97,SB,70,61.11,0 days 07:00:02,2024-09-03,Tuesday
J19,NB,70,67.07,SB,70,61.86,0 days 07:00:02,2024-09-03,Tuesday
J21,NB,70,63.73,SB,70,50.57,0 days 07:00:02,2024-09-03,Tuesday
J24,NB,70,53.44,SB,70,44.35,0 days 07:00:02,2024-09-03,Tuesday
J28,NB,70,54.78,SB,70,53.81,0 days 07:00:02,2024-09-03,Tuesday
J32,NB,70,49.98,SB,70,54.18,0 days 07:00:02,2024-09-03,Tuesday
J34,NB,70,47.22,SB,70,48.22,0 days 07:00:02,2024-09-03,Tuesday
J39,NB,70,60.27,SB,70,67.58,0 days 07:00:02,2024-09-03,Tuesday
J43|44,NB,70,54.06,SB,70,51.4,0 days 07:00:02,2024-09-03,Tuesday
J2,NB,70,63.69,SB,70,63.63,0 days 07:01:03,2024-09-03,Tuesday
J6A,NB,70,65.93,SB,70,57.79,0 days 07:01:03,2024-09-03,Tuesday
J10,NB,70,48.4,SB,70,37.89,0 days 07:01:03,2024-09-03,Tuesday
J14,NB,70,65.11,SB,70,61.08,0 days 07:01:03,2024-09-03,Tuesday
J19,NB,70,66.56,SB,70,63.74,0 days 07:01:03,2024-09-03,Tuesday
J21,NB,70,63.76,SB,70,49.89,0 days 07:01:03,2024-09-03,Tuesday
J24,NB,70,51.57,SB,70,45.4,0 days 07:01:03,2024-09-03,Tuesday
J28,NB,70,53.8,SB,70,52.78,0 days 07:01:03,2024-09-03,Tuesday
J32,NB,70,49.98,SB,70,54.63,0 days 07:01:03,2024-09-03,Tuesday
J34,NB,70,48.19,SB,70,47.83,0 days 07:01:03,2024-09-03,Tuesday
J39,NB,70,59.78,SB,70,69.42,0 days 07:01:03,2024-09-03,Tuesday
J43|44,NB,70,54.06,SB,70,51.4,0 days 07:01:03,2024-09-03,Tuesday
J2,NB,70,63.13,SB,70,64.58,0 days 07:02:03,2024-09-03,Tuesday
J6A,NB,70,65.93,SB,70,59.03,0 days 07:02:03,2024-09-03,Tuesday
J10,NB,70,48.53,SB,70,38.67,0 days 07:02:03,2024-09-03,Tuesday
J14,NB,70,65.55,SB,70,63.47,0 days 07:02:03,2024-09-03,Tuesday
J19,NB,70,66.08,SB,70,62.8,0 days 07:02:03,2024-09-03,Tuesday
J21,NB,70,62.54,SB,70,52.14,0 days 07:02:03,2024-09-03,Tuesday
J24,NB,70,52.82,SB,70,45.4,0 days 07:02:03,2024-09-03,Tuesday
J28,NB,70,52.3,SB,70,51.88,0 days 07:02:03,2024-09-03,Tuesday
J32,NB,70,49.5,SB,70,55.02,0 days 07:02:03,2024-09-03,Tuesday
J34,NB,70,47.85,SB,70,47.83,0 days 07:02:03,2024-09-03,Tuesday
J39,NB,70,59.15,SB,70,66.9,0 days 07:02:03,2024-09-03,Tuesday
J43|44,NB,70,54.67,SB,70,50.25,0 days 07:02:03,2024-09-03,Tuesday
J2,NB,70,63.65,SB,70,64.35,0 days 07:03:02,2024-09-03,Tuesday
J6A,NB,70,64.81,SB,70,59.03,0 days 07:03:02,2024-09-03,Tuesday
